MQ2CharacterType member table from FUN_1001b360
ID | Name | Address
---|---|---
  1 | ID | 1013d650
  2 | Name | 1013d654
  3 | Level | 1013abec
  4 | Exp | 1013d93c
  5 | Spawn | 1013d22c
  6 | Dar | 1013d940
  7 | AAExp | 1013d944
  8 | AAPoints | 1013d94c
 10 | CurrentHPs | 1013d6ec
 11 | MaxHPs | 1013d6f8
 12 | HPRegen | 1013d958
 13 | PctHPs | 1013d700
 14 | CurrentMana | 1013d8d8
 15 | MaxMana | 1013d8e4
 16 | ManaRegen | 1013d960
 17 | PctMana | 1013d96c
 18 | Buff | 1013d974
 19 | Song | 1013d97c
 20 | Book | 1013d984
 21 | Skill | 1013d234
 22 | Ability | 1013d98c
 23 | Surname | 1013d71c
 24 | Cash | 1013d994
 25 | CashBank | 1013d99c
 26 | PlatinumShared | 1013d9a8
 27 | Grouped | 1013d9b8
 28 | HPBonus | 1013d9c0
 29 | ManaBonus | 1013d9c8
 30 | GukEarned | 1013d9d4
 31 | MMEarned | 1013d9e0
 32 | RujEarned | 1013d9ec
 33 | TakEarned | 1013d9f8
 34 | MirEarned | 1013da04
 35 | LDoNPoints | 1013da10
 36 | CurrentFavor | 1013da1c
 37 | CareerFavor | 1013da2c
 38 | Endurance | 1013da38
 39 | Inventory | 1013da44
 40 | Bank | 1013da50
 42 | Combat | 1013da58
 43 | FreeInventory | 1013da60
 44 | Gem | 1013da70
 45 | SpellReady | 1013da74
 46 | GroupLeaderExp | 1013da80
 47 | RaidLeaderExp | 1013da90
 48 | GroupLeaderPoints | 1013daa0
 49 | RaidLeaderPoints | 1013dab4
 50 | Drunk | 1013dac8
 51 | STR | 1013dad0
 52 | STA | 1013dad4
 53 | CHA | 1013dad8
 54 | DEX | 1013dadc
 55 | INT | 1013dae0
 56 | AGI | 1013dae4
 57 | WIS | 1013dae8
 58 | svMagic | 1013daec
 59 | svFire | 1013daf4
 60 | svCold | 1013dafc
 61 | svPoison | 1013db04
 62 | svDisease | 1013db10
 63 | Hunger | 1013db1c
 64 | Thirst | 1013db24
 65 | BaseSTR | 1013db2c
 66 | BaseSTA | 1013db34
 67 | BaseCHA | 1013db3c
 68 | BaseDEX | 1013db44
 69 | BaseINT | 1013db4c
 70 | BaseAGI | 1013db54
 71 | BaseWIS | 1013db5c
 72 | PracticePoints | 1013db64
 73 | PctExp | 1013db74
 74 | PctAAExp | 1013db7c
 75 | Moving | 1013d8a8
 76 | AbilityReady | 1013db88
 77 | PetBuff | 1013db98
 78 | Platinum | 1013dba0
 79 | Gold | 1013dbac
 80 | Silver | 1013dbb4
 81 | Copper | 1013dbbc
 82 | PlatinumBank | 1013dbc4
 83 | GoldBank | 1013dbd4
 84 | SilverBank | 1013dbe0
 85 | CopperBank | 1013dbec
 86 | PctGroupLeaderExp | 1013dbf8
 87 | PctRaidLeaderExp | 1013dc0c
 88 | Stunned | 1013d8c4
 89 | RangedReady | 1013dc20
 90 | AltTimerReady | 1013dc2c
 91 | MaxEndurance | 1013d900
 92 | PctEndurance | 1013dc3c
 93 | AltAbility | 1013d23c
 94 | AltAbilityReady | 1013dc4c
 95 | AltAbilityTimer | 1013dc5c
 96 | CombatAbility | 1013dc6c
