Program: dinput8.dll
Image base: 10000000

== Interesting symbols ==
10019e80 | Function | FindMQ2Data
1001fd60 | Function | FindMQ2DataVariable
10095e83 | Function | __crt_stdio_input::format_string_parser<char>::advance
10095e83 | Label | ?advance@?$format_string_parser@D@__crt_stdio_input@@QAE_NXZ
10096fd6 | Function | __crt_stdio_input::format_string_parser<char>::reset_token_state_for_error
10096fd6 | Label | ?reset_token_state_for_error@?$format_string_parser@D@__crt_stdio_input@@AAEXH@Z
10097000 | Function | __crt_stdio_input::format_string_parser<wchar_t>::reset_token_state_for_error
10097000 | Label | ?reset_token_state_for_error@?$format_string_parser@_W@__crt_stdio_input@@AAEXH@Z
100978b4 | Function | __crt_stdio_input::format_string_parser<char>::scan_optional_literal_character_trail_bytes_tchar
100978b4 | Label | ?scan_optional_literal_character_trail_bytes_tchar@?$format_string_parser@D@__crt_stdio_input@@AAE_ND@Z
1009790b | Function | __crt_stdio_input::format_string_parser<char>::scan_optional_wide_modifier
1009790b | Label | ?scan_optional_wide_modifier@?$format_string_parser@D@__crt_stdio_input@@AAEXXZ
10097929 | Function | __crt_stdio_input::format_string_parser<wchar_t>::scan_optional_wide_modifier
10097929 | Label | ?scan_optional_wide_modifier@?$format_string_parser@_W@__crt_stdio_input@@AAEXXZ
10097cf8 | Function | __crt_stdio_input::format_string_parser<char>::should_default_to_wide
10097cf8 | Label | ?should_default_to_wide@?$format_string_parser@D@__crt_stdio_input@@AAE_NE@Z
10097d12 | Function | __crt_stdio_input::format_string_parser<wchar_t>::should_default_to_wide
10097d12 | Label | ?should_default_to_wide@?$format_string_parser@_W@__crt_stdio_input@@AAE_N_W@Z
10097fd1 | Function | __crt_stdio_input::format_string_parser<char>::validate
10097fd1 | Label | ?validate@?$format_string_parser@D@__crt_stdio_input@@QBE_NXZ
100c0e40 | Function | EQClasses::CChatService::GetFriendName
100c0e40 | Label | ?GetFriendName@CChatService@EQClasses@@QAEPADH@Z
100c0e50 | Function | EQClasses::CChatService::GetNumberOfFriends
100c0e50 | Label | ?GetNumberOfFriends@CChatService@EQClasses@@QAEHXZ
100c0ea0 | Function | EQClasses::CTextOverlay::DisplayText
100c0ea0 | Label | ?DisplayText@CTextOverlay@EQClasses@@QAEXPADHHHHHH@Z
100c11e0 | Function | EQClasses::CStmlWnd::MakeWndNotificationTag
100c11e0 | Label | ?MakeWndNotificationTag@CStmlWnd@EQClasses@@SA?AVCXStr@2@IAAV32@0@Z
100c1720 | Function | EQClasses::CSidlScreenWnd::WndNotification
100c1720 | Label | ?WndNotification@CSidlScreenWnd@EQClasses@@QAEHPAVCXWnd@2@IPAX@Z
100c17b0 | Function | EQClasses::CEverQuest::SetGameState
100c17b0 | Label | ?SetGameState@CEverQuest@EQClasses@@QAEXH@Z
100c17c0 | Function | EQClasses::CEverQuest::ClickedPlayer
100c17c0 | Label | ?ClickedPlayer@CEverQuest@EQClasses@@QAEPAVEQPlayer@2@HH@Z
100c17d0 | Function | EQClasses::CEverQuest::RMouseUp
100c17d0 | Label | ?RMouseUp@CEverQuest@EQClasses@@QAEXHH@Z
100c17e0 | Function | EQClasses::CEverQuest::InterpretCmd
100c17e0 | Label | ?InterpretCmd@CEverQuest@EQClasses@@QAEXPAVEQPlayer@2@PAD@Z
100c17f0 | Function | EQClasses::CEverQuest::doLoot
100c17f0 | Label | ?doLoot@CEverQuest@EQClasses@@QAEXXZ
100c1800 | Function | EQClasses::CEverQuest::EnterZone
100c1800 | Label | ?EnterZone@CEverQuest@EQClasses@@QAEXPAUHWND__@@@Z
100c1810 | Function | EQClasses::CEverQuest::Emote
100c1810 | Label | ?Emote@CEverQuest@EQClasses@@QAEXXZ
100c1820 | Function | EQClasses::CEverQuest::DoTellWindow
100c1820 | Label | ?DoTellWindow@CEverQuest@EQClasses@@QAEXPAD00PAXH_N@Z
100c1830 | Function | EQClasses::CEverQuest::dsp_chat
100c1830 | Label | ?dsp_chat@CEverQuest@EQClasses@@QAEXPBDH_N@Z
100c1850 | Function | EQClasses::CEverQuest::dsp_chat
100c1850 | Label | ?dsp_chat@CEverQuest@EQClasses@@QAEXPBDH_N1@Z
100c1860 | Function | EQClasses::CEverQuest::RightClickedOnPlayer
100c1860 | Label | ?RightClickedOnPlayer@CEverQuest@EQClasses@@QAEXPAVEQPlayer@2@H@Z
100c1870 | Function | EQClasses::CEverQuest::LeftClickedOnPlayer
100c1870 | Label | ?LeftClickedOnPlayer@CEverQuest@EQClasses@@QAEXPAVEQPlayer@2@@Z
100c1880 | Function | EQClasses::CEverQuest::LMouseUp
100c1880 | Label | ?LMouseUp@CEverQuest@EQClasses@@QAEXHH@Z
100c1890 | Function | EQClasses::CEverQuest::DropHeldItemOnGround
100c1890 | Label | ?DropHeldItemOnGround@CEverQuest@EQClasses@@QAEXH@Z
100c18a0 | Function | EQClasses::CEverQuest::GetDeityDesc
100c18a0 | Label | ?GetDeityDesc@CEverQuest@EQClasses@@QAEPADH@Z
100c18b0 | Function | EQClasses::CEverQuest::GetRaceDesc
100c18b0 | Label | ?GetRaceDesc@CEverQuest@EQClasses@@QAEPADH@Z
100c18c0 | Function | EQClasses::CEverQuest::GetLangDesc
100c18c0 | Label | ?GetLangDesc@CEverQuest@EQClasses@@QAEPADH@Z
100c18d0 | Function | EQClasses::CEverQuest::GetBodyTypeDesc
100c18d0 | Label | ?GetBodyTypeDesc@CEverQuest@EQClasses@@QAEPADH@Z
100c18e0 | Function | EQClasses::CEverQuest::GetClassThreeLetterCode
100c18e0 | Label | ?GetClassThreeLetterCode@CEverQuest@EQClasses@@QAEPADH@Z
